tucaseid,tuactivity_n,tewhere,trtcctot_ln,trtcc_ln,trtcoc_ln,trtec_ln,trthh_ln,trtnohh_ln,trtohh_ln,trtonhh_ln,trto_ln,tuactdur,tuactdur24,tucc5,tucc5b,tucc7,tucc8,tucumdur,tucumdur24,tudurstop,tuec24,tustarttim,tustoptime,tutier1code,tutier2code,tutier3code,trcode,trtier2,txwhere
20230101230035,1,-1,0,-1,0,-1,-1,-1,-1,-1,-1,240,240,0,0,0,97,240,240,2,-1,04:00:00,08:00:00,01,01,01,010101,0101,0
20230101230035,2,12,0,-1,0,-1,-1,-1,-1,-1,-1,20,20,0,0,0,0,260,260,1,-1,08:00:00,08:20:00,18,13,01,181301,1813,0
20230101230035,3,31,0,-1,0,-1,-1,-1,-1,-1,-1,120,120,0,0,0,0,380,380,1,-1,08:20:00,10:20:00,13,01,33,130133,1301,0
20230101230035,4,12,0,-1,0,-1,-1,-1,-1,-1,-1,20,20,0,0,0,0,400,400,1,-1,10:20:00,10:40:00,18,13,01,181301,1813,0
20230101230035,5,1,0,-1,0,-1,-1,-1,-1,-1,-1,10,10,0,0,0,0,410,410,1,-1,10:40:00,10:50:00,02,02,01,020201,0202,0
20230101230035,6,1,0,-1,0,-1,-1,-1,-1,-1,-1,5,5,0,0,0,0,415,415,1,-1,10:50:00,10:55:00,11,01,01,110101,1101,0
20230101230035,7,1,0,-1,0,-1,-1,-1,-1,-1,-1,60,60,0,0,0,0,475,475,1,-1,10:55:00,11:55:00,12,03,12,120312,1203,0
20230101230035,8,11,0,-1,0,-1,-1,-1,-1,-1,-1,120,120,0,0,0,0,595,595,1,-1,11:55:00,13:55:00,12,03,05,120305,1203,0
20230101230035,9,12,0,-1,0,-1,-1,-1,-1,-1,-1,30,30,0,0,0,0,625,625,1,-1,13:55:00,14:25:00,18,12,03,181203,1812,0
20230101230035,10,3,0,-1,0,-1,-1,-1,-1,-1,-1,150,150,0,0,0,0,775,775,1,-1,14:25:00,16:55:00,12,03,07,120307,1203,0
20230101230035,11,14,0,-1,0,-1,-1,-1,-1,-1,-1,10,10,0,0,0,0,785,785,1,-1,16:55:00,17:05:00,18,12,03,181203,1812,0
